family,seed,policy,capacity_limit_mode,capacity_limit,C,B,feasible,feasible_reason,legacy_compressibility,slack_ratio,mean_t_slack,T_static,T_exe,stall_cycles,stall_ratio,delta_max,gamma,peak_demand,mean_demand,total_T,QTV_proxy,normalized_makespan
high_compressibility,7,static_min,none,0,1,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,31.0,23.0,0.7419354838709677,23,23,6,3.625,29,428.0,3.875
high_compressibility,7,capacity_aware_static,C,1,1,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,29,29.0,0.0,0.0,0,0,1,1.0,29,335.0,1.0
high_compressibility,7,smoothed,none,0,1,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,10,29.0,19.0,0.6551724137931034,19,19,3,2.9,29,476.0,2.9
high_compressibility,7,static_min,none,0,2,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,17.0,9.0,0.5294117647058824,17,17,6,3.625,29,238.0,2.125
high_compressibility,7,capacity_aware_static,C,2,2,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,15,15.0,0.0,0.0,0,0,2,1.9333333333333333,29,195.0,1.0
high_compressibility,7,smoothed,none,0,2,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,10,15.0,5.0,0.3333333333333333,9,9,3,2.9,29,239.0,1.5
high_compressibility,7,static_min,none,0,3,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,12.0,4.0,0.3333333333333333,11,11,6,3.625,29,169.0,1.5
high_compressibility,7,capacity_aware_static,C,3,3,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,11,11.0,0.0,0.0,0,0,3,2.6363636363636362,29,148.0,1.0
high_compressibility,7,smoothed,none,0,3,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,10,10.0,0.0,0.0,0,0,3,2.9,29,160.0,1.0
high_compressibility,7,static_min,none,0,4,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,10.0,2.0,0.2,6,6,6,3.625,29,140.0,1.25
high_compressibility,7,capacity_aware_static,C,4,4,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,9,9.0,0.0,0.0,0,0,4,3.2222222222222223,29,127.0,1.0
high_compressibility,7,smoothed,none,0,4,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,10,10.0,0.0,0.0,0,0,3,2.9,29,160.0,1.0
high_compressibility,7,static_min,none,0,5,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,9.0,1.0,0.1111111111111111,3,3,6,3.625,29,125.0,1.125
high_compressibility,7,capacity_aware_static,C,5,5,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,8.0,0.0,0.0,0,0,5,3.625,29,116.0,1.0
high_compressibility,7,smoothed,none,0,5,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,10,10.0,0.0,0.0,0,0,3,2.9,29,160.0,1.0
high_compressibility,7,static_min,none,0,6,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,8.0,0.0,0.0,0,0,6,3.625,29,117.0,1.0
high_compressibility,7,capacity_aware_static,C,6,6,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,8.0,0.0,0.0,0,0,6,3.625,29,117.0,1.0
high_compressibility,7,smoothed,none,0,6,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,10,10.0,0.0,0.0,0,0,3,2.9,29,160.0,1.0
high_compressibility,7,static_min,none,0,7,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,8.0,0.0,0.0,0,0,6,3.625,29,117.0,1.0
high_compressibility,7,capacity_aware_static,C,7,7,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,8.0,0.0,0.0,0,0,6,3.625,29,117.0,1.0
high_compressibility,7,smoothed,none,0,7,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,10,10.0,0.0,0.0,0,0,3,2.9,29,160.0,1.0
